#LINK
#lang	ja
#attribution_url	http://linkdata.org/user/Sayoko_Shimoyama
#attribution_name	Sayoko Shimoyama
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	osaka_landscape
#template_generated_from	http://linkdata.org/work/rdf1s933i/osaka_shisetsu2.html
#download_from	http://linkdata.org/work/rdf1s1059i
#property	http://www.w3.org/2003/01/geo/wgs84_pos#long	http://www.w3.org/2003/01/geo/wgs84_pos#lat	category_1	categoory_2	ku	http://www.w3.org/2000/01/rdf-schema#label	http://schema.org/address	http://ogp.me/ns#video
#object_type_xsd	float	float	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
37742	135.4856182	34.59634278	文化・観光	都市景観資源	住之江区	大和橋	住之江区安立4丁目～堺市	http://www.youtube.com/watch?v=QHoDnE7OilE
37747	135.4752777	34.60234483	文化・観光	都市景観資源	住之江区	加賀屋新田会所跡	住之江区南加賀屋4丁目8番	
37745	135.4752858	34.61101069	文化・観光	都市景観資源	住之江区	住之江公園	住之江区南加賀屋1丁目1番	http://www.youtube.com/watch?v=Ojb08PVnYJU
37746	135.4738749	34.60988319	文化・観光	都市景観資源	住之江区	大阪護國神社と杜	住之江区南加賀屋1丁目1番77号	http://www.youtube.com/watch?v=n2o1ve61Ymw
37749	135.4884634	34.61199808	文化・観光	都市景観資源	住之江区	住吉公園	住之江区浜口東1丁目1番	http://www.youtube.com/watch?v=97rs01zbY0g
37744	135.4006728	34.63522639	文化・観光	都市景観資源	住之江区	大阪南港野鳥園	住之江区南港北3丁目5番30号	http://www.youtube.com/watch?v=-7xHiTaVkI8
37751	135.4137238	34.63627817	文化・観光	都市景観資源	住之江区	南港オズ岸壁と大阪南港コスモフェリーターミナル	住之江区南港北2丁目	http://www.youtube.com/watch?v=g86hncvP1Vw
37748	135.4868679	34.61318581	文化・観光	都市景観資源	住之江区	住吉高燈籠	住之江区浜口西1丁目	
19456	135.4627179	34.6265845	文化・観光	都市景観資源	大正区	新木津川大橋と木津川渡船場	大正区船町1丁目1番、住之江区平林北1丁目1番	http://www.youtube.com/watch?v=2ne6FRL2ztY
19514	135.461873	34.62545389	文化・観光	都市景観資源	大正区	大正区の渡船場の景観	大正区船町1丁目1番、住之江区平林北1丁目1番	http://www.youtube.com/watch?v=gxbUmAP34ww
37750	135.4738884	34.62568969	文化・観光	都市景観資源	住之江区	名村造船所大阪工場跡地	住之江区北加賀屋4丁目1番55号	http://www.youtube.com/watch?v=exoSK0WbeA0
19513	135.4579283	34.63294469	文化・観光	都市景観資源	大正区	大正区の渡船場の景観	大正区鶴町1丁目16番、船町1丁目3番	http://www.youtube.com/watch?v=gxbUmAP34ww
19454	135.4751894	34.63291736	文化・観光	都市景観資源	大正区	千本松大橋と千本松渡船場	大正区南恩加島1丁目11番、西成区南津守5丁目4番	http://www.youtube.com/watch?v=wI-9B2a7Cbc
19511	135.4756199	34.63277839	文化・観光	都市景観資源	大正区	大正区の渡船場の景観	大正区南恩加島1丁目11番、西成区南津守5丁目6番	http://www.youtube.com/watch?v=NrAtUaGV4Zc
19483	135.5050609	34.5908025	文化・観光	都市景観資源	住吉区	大阪市立大学（杉本キャンパス）	住吉区杉本3丁目3番138号	http://www.youtube.com/watch?v=M5lvgiPsvLw
19501	135.5180768	34.59493889	文化・観光	都市景観資源	住吉区	大依羅神社	住吉区庭井2丁目18番16号	
19478	135.4952257	34.60048889	文化・観光	都市景観資源	住吉区	極楽寺	住吉区遠里小野5丁目11番2号	
