X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,詳細情報,カテゴリ,アイコン番号,施設ID
135.5240926,34.65789994,五条公園,ごじょうこうえん,五条公園（ごじょうこうえん）,,天王寺区,便器数　　男性用　小：２　　男女兼用　和：１,公衆トイレ/公衆便所,169,29422
135.45428,34.64383192,鶴町北公園,つるまちきたこうえん,鶴町北公園（つるまちきたこうえん）,,大正区,便器数　　男性用　小：１　　男女兼用　和：１,公衆トイレ/公衆便所,169,29420
135.5486893,34.66864056,大今里公園,おおいまざとこうえん,大今里公園（おおいまざとこうえん）,,東成区,便器数　　男性用　和：１　小：２　　女性用　和：１,公衆トイレ/公衆便所,169,29438
135.5176806,34.69202178,毛馬桜之宮公園,けまさくらのみやこうえん,毛馬桜之宮公園（けまさくらのみやこうえん）,,北区,便器数　　男性用　和：１　小：２　　女性用　和：２,公衆トイレ/公衆便所,169,29331
135.5218921,34.62301483,山坂公園,やまさかこうえん,山坂公園（やまさかこうえん）,,東住吉区,便器数　　男性用　小：２　　男女兼用　和：１,公衆トイレ/公衆便所,169,29442
135.526354,34.738932,菅原公園　公衆トイレ,すがはらこうえん　こうしゅうといれ,菅原公園　公衆トイレ（すがはらこうえん　こうしゅうといれ）,東淀川区菅原３丁目３－１２,東淀川区,,公衆トイレ/公衆便所,169,95136
135.4021355,34.63704092,野鳥園臨港緑地（公衆便所）,やちょうえんりんこうりょくちこうしゅうべんじょ,野鳥園臨港緑地（公衆便所）（やちょうえんりんこうりょくちこうしゅうべんじょ）,,住之江区,【男性用】和：1　小：2　【女性用】和：1,公衆トイレ/公衆便所,169,29696
135.4028726,34.61215186,南港魚つり園護岸（公衆便所）,なんこううおつりえんごがんこうしゅうべんじょ,南港魚つり園護岸（公衆便所）（なんこううおつりえんごがんこうしゅうべんじょ）,,住之江区,【男性用】和：1　小：2　【女性用】和：2,公衆トイレ/公衆便所,169,29699
135.4018242,34.61484003,南港魚つり園護岸（公衆便所）,なんこううおつりえんごがんこうしゅうべんじょ,南港魚つり園護岸（公衆便所）（なんこううおつりえんごがんこうしゅうべんじょ）,,住之江区,【男性用】小：2　【男女兼用】和：1,公衆トイレ/公衆便所,169,29698
135.5128452,34.67039931,瓦屋町　公衆トイレ2,かわらやまちこうえん　こうしゅうといれ2,瓦屋町　公衆トイレ2（かわらやまちこうえん　こうしゅうといれ2）,,中央区,,公衆トイレ/公衆便所,169,29685
